trade_id,logged_at,status,ticker,model,entry_date,entry_price,shares,invested_usd,exit_date,exit_price,gross_pnl_usd,net_pnl_usd,return_pct,expected_price,expected_date,current_price,current_date
NVDA-tcn-2025-08-01-1000,2025-09-22T08:14:14Z,CLOSED,NVDA,tcn,2025-08-01,173.710205,5.756714,1000.0,2025-08-18,181.999725,47.720398,47.720398,4.77204,183.363448,2025-08-16,181.999725,2025-08-18
GOOGL-tcn-2025-08-01-1000,2025-09-22T08:14:14Z,CLOSED,GOOGL,tcn,2025-08-01,188.960999,5.292097,1000.0,2025-09-02,211.161148,117.485342,117.485342,11.748535,213.644977,2025-08-29,211.161148,2025-09-02
NVDA-tcn-2025-08-19-1000,2025-09-22T10:02:35Z,CLOSED,NVDA,tcn,2025-08-19,175.630096,5.693785,1000.0,2025-09-04,171.65033,-22.659934,-22.659934,-2.265993,185.286958,2025-09-03,171.65033,2025-09-04
NVDA-tcn-2025-09-05-1000,2025-09-22T10:42:50Z,CLOSED,NVDA,tcn,2025-09-05,167.01059,5.987644,1000.0,2025-09-10,177.320007,61.729121,61.729121,6.172912,176.126222,2025-09-20,177.320007,2025-09-10
GOOGL-tcn-2025-09-03-1000,2025-09-22T10:37:08Z,CLOSED,GOOGL,tcn,2025-09-03,230.453888,4.339263,1000.0,2025-09-19,254.720001,105.297047,105.297047,10.529704,253.433871,2025-09-30,254.720001,2025-09-19
NVDA-tcn-2025-09-11-1000,2025-09-22T10:57:42Z,CLOSED,NVDA,tcn,2025-09-11,177.169998,5.644296,1000.0,2025-09-29,181.850006,26.415351,26.415351,2.641535,186.845275,2025-09-26,181.850006,2025-09-29
META-tcn-2025-10-01-1000,2025-10-02T21:17:42Z,OPEN,META,tcn,2025-10-01,717.340027,1.394039,1000.0,,,0.0,0.0,0.0,754.656364,2025-10-25,717.340027,2025-10-01
NVDA-tcn-2025-09-29-1000,2025-10-02T21:13:21Z,CLOSED,NVDA,tcn,2025-09-29,181.850006,5.499037,1000.0,2025-10-09,192.570007,58.949684,58.949684,5.894969,192.029356,2025-10-14,192.570007,2025-10-09
NVDA-tcn-2025-10-10-1000,2025-10-14T15:55:27Z,OPEN,NVDA,tcn,2025-10-10,183.160004,5.459707,1000.0,,,0.0,0.0,0.0,193.143444,2025-10-25,183.160004,2025-10-10
GOOGL-tcn-2025-09-19-1000,2025-09-23T09:33:04Z,CLOSED,GOOGL,tcn,2025-09-19,254.720001,3.925879,1000.0,2025-10-17,253.300003,-5.57474,-5.57474,-0.557474,278.734913,2025-10-16,253.300003,2025-10-17
