trade_id,logged_at,status,ticker,model,entry_date,entry_price,shares,invested_usd,exit_date,exit_price,gross_pnl_usd,net_pnl_usd,return_pct,expected_price,expected_date,current_price,current_date
AAPL-trans-2025-08-01-1000,2025-09-22T08:14:13Z,CLOSED,AAPL,trans,2025-08-01,202.150589,4.946807,1000.0,2025-08-08,229.090012,133.264124,133.264124,13.326413,222.24586,2025-08-22,229.090012,2025-08-08
MSFT-trans-2025-08-01-1000,2025-09-22T08:14:14Z,CLOSED,MSFT,trans,2025-08-01,523.249817,1.911133,1000.0,2025-08-08,521.183228,-3.949527,-3.949527,-0.394953,552.076372,2025-08-07,521.183228,2025-08-08
TSLA-trans-2025-08-01-1000,2025-09-22T08:14:14Z,CLOSED,TSLA,trans,2025-08-01,302.630005,3.304365,1000.0,2025-08-12,340.839996,126.259758,126.259758,12.625976,331.871187,2025-08-13,340.839996,2025-08-12
NVDA-tcn-2025-08-01-1000,2025-09-22T08:14:14Z,CLOSED,NVDA,tcn,2025-08-01,173.710205,5.756714,1000.0,2025-08-18,181.999725,47.720398,47.720398,4.77204,183.363448,2025-08-16,181.999725,2025-08-18
NVDA-trans-2025-08-01-1000,2025-09-22T08:14:14Z,CLOSED,NVDA,trans,2025-08-01,173.710205,5.756714,1000.0,2025-08-25,179.799866,35.056435,35.056435,3.505644,215.056325,2025-08-24,179.799866,2025-08-25
TSLA-trans-2025-08-12-1000,2025-09-22T09:34:44Z,CLOSED,TSLA,trans,2025-08-12,340.839996,2.933928,1000.0,2025-08-25,346.600006,16.899455,16.899455,1.689945,372.723291,2025-08-24,346.600006,2025-08-25
NVDA-lstm-2025-08-01-1000,2025-09-22T08:14:13Z,CLOSED,NVDA,lstm,2025-08-01,173.710205,5.756714,1000.0,2025-08-29,174.170166,2.647864,2.647864,0.264786,194.239139,2025-08-28,174.170166,2025-08-29
GOOGL-tcn-2025-08-01-1000,2025-09-22T08:14:14Z,CLOSED,GOOGL,tcn,2025-08-01,188.960999,5.292097,1000.0,2025-09-02,211.161148,117.485342,117.485342,11.748535,213.644977,2025-08-29,211.161148,2025-09-02
AAPL-trans-2025-08-08-1000,2025-09-22T08:31:35Z,CLOSED,AAPL,trans,2025-08-08,229.090012,4.365096,1000.0,2025-09-03,238.470001,40.944553,40.944553,4.094456,246.250253,2025-09-02,238.470001,2025-09-03
NVDA-tcn-2025-08-19-1000,2025-09-22T10:02:35Z,CLOSED,NVDA,tcn,2025-08-19,175.630096,5.693785,1000.0,2025-09-04,171.65033,-22.659934,-22.659934,-2.265993,185.286958,2025-09-03,171.65033,2025-09-04
MSFT-trans-2025-08-19-1000,2025-09-22T10:02:35Z,CLOSED,MSFT,trans,2025-08-19,508.93335,1.964894,1000.0,2025-09-08,498.200012,-21.089871,-21.089871,-2.108987,538.46075,2025-09-06,498.200012,2025-09-08
TSLA-trans-2025-08-26-1000,2025-09-22T10:20:39Z,CLOSED,TSLA,trans,2025-08-26,351.670013,2.843575,1000.0,2025-09-08,346.399994,-14.985695,-14.985695,-1.498569,380.716237,2025-09-07,346.399994,2025-09-08
NVDA-tcn-2025-09-05-1000,2025-09-22T10:42:50Z,CLOSED,NVDA,tcn,2025-09-05,167.01059,5.987644,1000.0,2025-09-10,177.320007,61.729121,61.729121,6.172912,176.126222,2025-09-20,177.320007,2025-09-10
NVDA-trans-2025-08-26-1000,2025-09-22T10:20:39Z,CLOSED,NVDA,trans,2025-08-26,181.75975,5.501768,1000.0,2025-09-19,176.669998,-28.002634,-28.002634,-2.800263,219.516215,2025-09-18,176.669998,2025-09-19
GOOGL-tcn-2025-09-03-1000,2025-09-22T10:37:08Z,CLOSED,GOOGL,tcn,2025-09-03,230.453888,4.339263,1000.0,2025-09-19,254.720001,105.297047,105.297047,10.529704,253.433871,2025-09-30,254.720001,2025-09-19
NVDA-trans-2025-09-19-1000,2025-09-23T09:33:04Z,OPEN,NVDA,trans,2025-09-19,176.669998,5.660271,1000.0,,,0.0,0.0,0.0,213.443505,2025-10-12,176.669998,2025-09-19
GOOGL-tcn-2025-09-19-1000,2025-09-23T09:33:04Z,OPEN,GOOGL,tcn,2025-09-19,254.720001,3.925879,1000.0,,,0.0,0.0,0.0,278.734913,2025-10-16,254.720001,2025-09-19
AAPL-trans-2025-09-16-1000,2025-09-22T11:04:40Z,CLOSED,AAPL,trans,2025-09-16,238.149994,4.199034,1000.0,2025-09-22,256.079987,75.288648,75.288648,7.528865,250.985626,2025-10-07,256.079987,2025-09-22
NVDA-lstm-2025-08-29-1000,2025-09-22T10:32:06Z,CLOSED,NVDA,lstm,2025-08-29,174.170166,5.741511,1000.0,2025-09-26,178.190002,23.079935,23.079935,2.307994,195.140391,2025-09-25,178.190002,2025-09-26
NVDA-lstm-2025-09-29-1000,2025-09-30T01:47:11Z,OPEN,NVDA,lstm,2025-09-29,181.850006,5.499037,1000.0,,,0.0,0.0,0.0,202.965948,2025-10-26,181.850006,2025-09-29
AAPL-trans-2025-09-29-1000,2025-09-30T01:47:11Z,OPEN,AAPL,trans,2025-09-29,254.429993,3.930354,1000.0,,,0.0,0.0,0.0,269.897869,2025-10-20,254.429993,2025-09-29
MSFT-trans-2025-09-09-1000,2025-09-22T10:49:41Z,CLOSED,MSFT,trans,2025-09-09,498.410004,2.00638,1000.0,2025-09-29,514.599976,32.483235,32.483235,3.248324,533.992461,2025-09-27,514.599976,2025-09-29
NVDA-tcn-2025-09-11-1000,2025-09-22T10:57:42Z,CLOSED,NVDA,tcn,2025-09-11,177.169998,5.644296,1000.0,2025-09-29,181.850006,26.415351,26.415351,2.641535,186.845275,2025-09-26,181.850006,2025-09-29
MSFT-trans-2025-09-29-1000,2025-10-02T21:13:21Z,OPEN,MSFT,trans,2025-09-29,514.599976,1.943257,1000.0,,,0.0,0.0,0.0,556.753382,2025-10-17,514.599976,2025-09-29
META-tcn-2025-10-01-1000,2025-10-02T21:17:42Z,OPEN,META,tcn,2025-10-01,717.340027,1.394039,1000.0,,,0.0,0.0,0.0,754.656364,2025-10-25,717.340027,2025-10-01
NVDA-tcn-2025-09-29-1000,2025-10-02T21:13:21Z,CLOSED,NVDA,tcn,2025-09-29,181.850006,5.499037,1000.0,2025-10-09,192.570007,58.949684,58.949684,5.894969,192.029356,2025-10-14,192.570007,2025-10-09
NVDA-tcn-2025-10-10-1000,2025-10-14T15:55:27Z,OPEN,NVDA,tcn,2025-10-10,183.160004,5.459707,1000.0,,,0.0,0.0,0.0,193.143444,2025-10-25,183.160004,2025-10-10
