Date,Close,High,Low,Open,Volume,VIX_Close,EMA_12,EMA_26,RSI,MACD,MA_10,MA_20,MA_30,MA_45,SD_20,Upper_20,Lower_20
,MSFT,MSFT,MSFT,MSFT,MSFT,^VIX,,,,,,,,,,,
2020-12-23,212.4744415283203,214.91622799345612,212.2629464799046,214.48362981944945,18699600,23.309999465942383,209.96309058285902,207.97087794964074,63.27352367765059,1.992212633218287,209.27797241210936,207.76386337280275,206.9316441853841,205.72591518825953,3.4200117649989217,211.18387513780166,204.34385160780383
2020-12-24,214.1375274658203,214.96427675569586,212.6474541950329,212.85894922282563,10550600,21.530000686645508,210.60531164177613,208.42766680269108,65.45149475148861,2.1776448390850476,210.45368347167968,208.1906967163086,207.1484405517578,205.90773349338107,3.660129476256003,211.8508261925646,204.5305672400526
2020-12-28,216.2620849609375,217.29070652946282,214.3970913608019,215.77179436717526,17933500,21.700000762939453,211.47558446010865,209.0079940736723,68.21456944454981,2.467590386436342,211.5784484863281,208.65838928222655,207.4715321858724,206.13484598795574,4.063070383031943,212.7214596652585,204.5953188991946
2020-12-29,215.4833984375,218.39624453164663,214.93544469810388,217.55988713891716,17403200,23.079999923706055,212.09217122586114,209.48765365617805,64.34125565930363,2.6045175696830825,212.53497924804688,209.14290237426758,207.73446909586588,206.31610276963977,4.275624276377998,213.4185266506456,204.86727809788957
2020-12-30,213.10887145996094,216.90615886299983,212.90699919594755,216.5216158168502,20272300,22.770000457763672,212.24858664649187,209.75589201201382,68.54357154518145,2.492694634478056,213.2607849121094,209.40582656860352,207.8952428181966,206.5756323920356,4.352942318531383,213.7587688871349,205.05288425007214
2020-12-31,213.82028198242188,214.3778584417663,211.18621691630892,213.12811911349903,20942100,22.75,212.49038592894266,210.05695793574776,72.79698263201138,2.433427993194897,213.5626449584961,209.74469909667968,208.16826273600262,206.78342725965712,4.422555872531436,214.16725496921111,205.32214322414825
2021-01-04,209.27317810058594,214.37786849670263,206.50452649503688,213.92603952860762,37130100,26.969999313354492,211.99543087842625,209.99890017018024,57.8854430891162,1.9965307082460129,213.3963363647461,209.91052932739257,208.380078125,207.11539340549047,4.334339332702174,214.24486866009474,205.5761899946904
2021-01-05,209.47500610351562,210.07104410686514,207.36007087143997,208.85975195111516,23823000,25.34000015258789,211.60767322074767,209.96009320227915,56.76168165743087,1.647580018468517,213.3300003051758,210.08068618774413,208.55568135579426,207.4083767361111,4.241516306584332,214.32220249432848,205.8391698811598
2021-01-06,204.04345703125,208.11952477521555,203.7454453774139,203.966548432064,35930700,25.06999969482422,210.44394765313265,209.521823856277,47.1462418824246,0.9221237968556579,212.33597412109376,209.98262710571288,208.6152837117513,207.62860073513454,4.361677682210795,214.34430478792368,205.62094942350208
2021-01-07,209.84994506835938,210.8593503984707,205.44704085761094,205.76426870218953,27694500,22.3700008392334,210.3525626400906,209.54612913124606,48.53677590077674,0.8064335088445489,211.79281921386718,210.09221954345702,208.87740834554037,207.9808403862847,4.327600300988419,214.41981984444544,205.7646192424686
